Bölge (Düzey-2),Ýl Adý,Ýlçe Adý,Ýl-Ýlçe,ilce_no
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,ADALAR,ISTANBUL-ADALAR,962
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,ARNAVUTKOY,ISTANBUL-ARNAVUTKOY,890
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,ATASEHIR,ISTANBUL-ATASEHIR,831
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,AVCILAR,ISTANBUL-AVCILAR,842
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,BAGCILAR,ISTANBUL-BAGCILAR,855
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,BAHCELIEVLER,ISTANBUL-BAHCELIEVLER,839
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,BAKIRKOY,ISTANBUL-BAKIRKOY,832
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,BASAKSEHIR,ISTANBUL-BASAKSEHIR,871
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,BAYRAMPASA,ISTANBUL-BAYRAMPASA,858
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,BESIKTAS,ISTANBUL-BESIKTAS,880
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,BEYKOZ,ISTANBUL-BEYKOZ,872
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,BEYLIKDUZU,ISTANBUL-BEYLIKDUZU,841
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,BEYOGLU,ISTANBUL-BEYOGLU,969
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,BUYUKCEKMECE,ISTANBUL-BUYUKCEKMECE,852
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,CATALCA,ISTANBUL-CATALCA,893
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,CEKMEKOY,ISTANBUL-CEKMEKOY,866
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,ESENLER,ISTANBUL-ESENLER,856
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,ESENYURT,ISTANBUL-ESENYURT,853
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,EYUPSULTAN,ISTANBUL-EYUPSULTAN,859
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,FATIH,ISTANBUL-FATIH,863
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,GAZIOSMANPASA,ISTANBUL-GAZIOSMANPASA,881
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,GUNGOREN,ISTANBUL-GUNGOREN,845
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,KADIKOY,ISTANBUL-KADIKOY,834
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,KAGITHANE,ISTANBUL-KAGITHANE,884
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,KARTAL,ISTANBUL-KARTAL,806
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,KUCUKCEKMECE,ISTANBUL-KUCUKCEKMECE,837
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,MALTEPE,ISTANBUL-MALTEPE,827
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,PENDIK,ISTANBUL-PENDIK,805
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,SANCAKTEPE,ISTANBUL-SANCAKTEPE,814
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,SARIYER,ISTANBUL-SARIYER,892
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,SILE,ISTANBUL-SILE,848
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,SILIVRI,ISTANBUL-SILIVRI,885
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,SISLI,ISTANBUL-SISLI,879
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,SULTANBEYLI,ISTANBUL-SULTANBEYLI,815
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,SULTANGAZI,ISTANBUL-SULTANGAZI,888
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,TUZLA,ISTANBUL-TUZLA,774
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,UMRANIYE,ISTANBUL-UMRANIYE,836
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,USKUDAR,ISTANBUL-USKUDAR,846
TR10-ISTANBUL-(ISTANBUL),ISTANBUL,ZEYTINBURNU,ISTANBUL-ZEYTINBURNU,833
"TR21-TRAKYA-(EDIRNE, KIRKLARELI, TEKIRDAG)",EDIRNE,EDIRNE,EDIRNE-EDIRNE,925
"TR21-TRAKYA-(EDIRNE, KIRKLARELI, TEKIRDAG)",EDIRNE,ENEZ,EDIRNE-ENEZ,748
"TR21-TRAKYA-(EDIRNE, KIRKLARELI, TEKIRDAG)",EDIRNE,HAVSA,EDIRNE-HAVSA,926
"TR21-TRAKYA-(EDIRNE, KIRKLARELI, TEKIRDAG)",EDIRNE,IPSALA,EDIRNE-IPSALA,765
"TR21-TRAKYA-(EDIRNE, KIRKLARELI, TEKIRDAG)",EDIRNE,KESAN,EDIRNE-KESAN,734
"TR21-TRAKYA-(EDIRNE, KIRKLARELI, TEKIRDAG)",EDIRNE,LALAPASA,EDIRNE-LALAPASA,955
"TR21-TRAKYA-(EDIRNE, KIRKLARELI, TEKIRDAG)",EDIRNE,MERIC,EDIRNE-MERIC,889
